2026-01-17 12:07:59,689 | INFO | solace_ai_connector.solace_ai_connector | Starting Solace AI Event Connector
2026-01-17 12:07:59,689 | INFO | solace_ai_connector.solace_ai_connector | Creating app orchestrator-agent_app
2026-01-17 12:07:59,690 | INFO | common.utils.asyncio_macos_fix | On macOS. Applying asyncio child watcher fix for Python 3.12.0
2026-01-17 12:07:59,690 | INFO | common.utils.asyncio_macos_fix | Successfully applied asyncio fix. get_child_watcher is now patched to use ThreadedChildWatcher.
2026-01-17 12:07:59,691 | INFO | common.utils.asyncio_macos_fix | On macOS. Applying asyncio child watcher fix for Python 3.12.0
2026-01-17 12:07:59,691 | INFO | common.utils.asyncio_macos_fix | Successfully applied asyncio fix. get_child_watcher is now patched to use ThreadedChildWatcher.
2026-01-17 12:07:59,847 | INFO | solace_agent_mesh.agent.sac.app | Configuring A2A_ADK_App for Agent: 'OrchestratorAgent' in Namespace: 'default'
2026-01-17 12:07:59,847 | INFO | solace_agent_mesh.agent.sac.app | Automatically generated subscriptions for Agent 'OrchestratorAgent': [{'topic': 'default/a2a/v1/agent/request/OrchestratorAgent'}, {'topic': 'default/a2a/v1/discovery/>'}, {'topic': 'default/a2a/v1/agent/response/OrchestratorAgent/>'}, {'topic': 'default/a2a/v1/agent/status/OrchestratorAgent/>'}, {'topic': 'default/sam/events/session/>'}]
2026-01-17 12:07:59,848 | INFO | solace_ai_connector.components.component_base | [orchestrator-agent_app_broker_input] [solace_ai_connector.orchestrator-agent_app_implicit_flow.orchestrator-agent_app_broker_input]  Multi-session request/response is enabled.
2026-01-17 12:07:59,848 | INFO | solace_ai_connector.components.component_base | [orchestrator-agent_app_broker_input] [solace_ai_connector.orchestrator-agent_app_implicit_flow.orchestrator-agent_app_broker_input]  Using parent app's broker configuration as default for multi-session request/response.
2026-01-17 12:07:59,848 | INFO | solace_ai_connector.components.component_base | [<unnamed>] [solace_ai_connector.orchestrator-agent_app_implicit_flow.<unnamed>]  Multi-session request/response is enabled.
2026-01-17 12:07:59,848 | INFO | solace_ai_connector.components.component_base | [<unnamed>] [solace_ai_connector.orchestrator-agent_app_implicit_flow.<unnamed>]  Using parent app's broker configuration as default for multi-session request/response.
2026-01-17 12:07:59,848 | INFO | solace_agent_mesh.common.sac.sam_component_base | [solace_ai_connector.orchestrator-agent_app_implicit_flow.<unnamed>]  Initializing SamComponentBase...
2026-01-17 12:07:59,848 | INFO | solace_agent_mesh.common.sac.sam_component_base | [solace_ai_connector.orchestrator-agent_app_implicit_flow.<unnamed>]  Initialized SamComponentBase
2026-01-17 12:07:59,849 | INFO | solace_agent_mesh.agent.sac.component | [solace_ai_connector.orchestrator-agent_app_implicit_flow.<unnamed>]  Initializing agent: OrchestratorAgent (A2A ADK Host Component)...
2026-01-17 12:07:59,849 | INFO | solace_agent_mesh.agent.sac.component | [solace_ai_connector.orchestrator-agent_app_implicit_flow.<unnamed>]  Default session behavior set to: PERSISTENT
2026-01-17 12:07:59,849 | INFO | solace_agent_mesh.agent.sac.component | [solace_ai_connector.orchestrator-agent_app_implicit_flow.<unnamed>]  Artifact Handling Mode: reference
2026-01-17 12:07:59,849 | WARNING | solace_agent_mesh.agent.sac.component | [solace_ai_connector.orchestrator-agent_app_implicit_flow.<unnamed>]  Artifact handling mode 'reference' selected, but this component does not currently host an endpoint to serve artifacts. Clients may not be able to retrieve referenced artifacts.
2026-01-17 12:07:59,849 | INFO | solace_agent_mesh.agent.sac.component | [solace_ai_connector.orchestrator-agent_app_implicit_flow.<unnamed>]  Initializing synchronous ADK services...
2026-01-17 12:07:59,849 | INFO | solace_agent_mesh.agent.adk.services | [solace_ai_connector.orchestrator-agent_app_implicit_flow.<unnamed>]  Initializing Session Service of type: sql
2026-01-17 12:07:59,863 | INFO | google_adk.google.adk.sessions.database_session_service | Local timezone: America/Toronto
2026-01-17 12:07:59,895 | INFO | solace_agent_mesh.agent.adk.schema_migration | [solace_ai_connector.orchestrator-agent_app_implicit_flow.<unnamed>]  Running Alembic migrations for ADK schema compatibility...
2026-01-17 12:07:59,896 | INFO | alembic.runtime.migration | Context impl SQLiteImpl.
2026-01-17 12:07:59,896 | INFO | alembic.runtime.migration | Will assume non-transactional DDL.
2026-01-17 12:07:59,900 | INFO | alembic.runtime.migration | Running upgrade  -> e2902798564d
2026-01-17 12:07:59,908 | INFO | solace_agent_mesh.agent.adk.schema_migration | [solace_ai_connector.orchestrator-agent_app_implicit_flow.<unnamed>]  Database schema migration complete
2026-01-17 12:07:59,908 | INFO | solace_agent_mesh.agent.adk.services | [solace_ai_connector.orchestrator-agent_app_implicit_flow.<unnamed>]  Initializing Artifact Service of type: filesystem
2026-01-17 12:07:59,908 | INFO | solace_agent_mesh.agent.adk.artifacts.filesystem_artifact_service | Initialized FilesystemArtifactService. Base path: /tmp/samv2
2026-01-17 12:07:59,908 | INFO | solace_agent_mesh.agent.adk.services | [solace_ai_connector.orchestrator-agent_app_implicit_flow.<unnamed>]  Wrapping artifact service with dynamic ScopedArtifactServiceWrapper.
2026-01-17 12:07:59,908 | INFO | solace_agent_mesh.agent.adk.services | [solace_ai_connector.orchestrator-agent_app_implicit_flow.<unnamed>]  Initializing Memory Service of type: memory
